"Summit"	"Elevation"	"Latitude"	"Longitude"	"EleSrc"	"Prominence"	"Saddle"	"IsolationKm"
"Úvratec"	548.0	50.0112151	13.2746315	osm	67	491	2.8
"Kamenec"	520.0	50.7032816	14.3520208	osm	67	455	1.43
"Zbyná"	614.9	49.2827596	13.4977663	osm	67	549	0.82
"Ciernina"	463.0	50.5058333	16.4880556	osm	67	409	1.46
"Dwory"	400.0	50.9872222	15.6605556	osm	67	332	1.25
"Zarzycka Góra"	322.0	50.7144804	16.9601484	osm	67	262	4.62
"Górka Wilamowicka"	388.0	49.8039389	18.7715847	osm	67	330	5.26
"Klokoč"	661.0	48.4725827	17.3097199	osm	67	583	2.0
"Nagy-Hrabó"	606.0	48.55837	21.4072898	srtm-fixed	67	539	0.98
"Kýčera"	804.0	49.3353976	19.0599801	osm	67	742	1.48
"Trávna"	635.0	49.0991554	18.5163113	osm	67	559	1.14
"Pavlova skala"	610.0	48.6108613	20.6150205	osm	67	541	1.76
"Pavlová"	1379.0	48.9475094	19.8392002	osm	67	1304	1.02
"Valientov diel"	828.0	49.1481516	18.7975725	osm	67	748	0.63
"Páleniská"	769.0	48.4562772	19.3570249	osm	67	695	1.36
"Vlčí štít"	814.0	48.6348179	20.4246655	osm	67	741	1.37
"Vrchbánsky grúň"	1435.0	48.8782333	19.7642105	osm	67	1364	1.84
"Pleš"	278.0	48.428772	21.7100914	osm	67	202	1.9
"Holičky"	1086.0	48.8389028	20.5230262	osm	67	1028	2.5
"Chopec"	953.0	48.9929767	19.3327991	osm	67	872	0.46
"Črchľa"	1201.0	48.8472311	19.04154	srtm	67	1134	1.54
"Ostrý vrch"	521.0	48.8196358	17.7210582	srtm	67	454	0.93
"Varáková"	442.0	48.653833	17.478657	osm	67	371	3.46
"Stráž"	285.0	48.1208842	19.291755	srtm	67	218	3.99
"Skalka"	400.0	48.594976	18.8910496	srtm	67	333	0.59
"Dvorník"	932.0	48.6471793	20.7734466	osm	67	869	1.37
"Hirjač"	454.0	48.8502	21.9420681	osm	67	396	1.68
"Malý Senderov - sever"	312.3	48.8044992	21.9823272	osm	67	235	1.49
"Rodica"	1963.0	46.2277501	13.8651802	osm	67	1861	1.55
"Veliki Zvoh"	1972.0	46.3088373	14.5414439	osm	67	1890	1.16
"Rogla"	1517.0	46.456485	15.345948	osm	67	1453	2.79
"Malo Špičje"	2312.0	46.3517744	13.7828525	osm	67	2213	0.95
"Viševnik"	2050.0	46.3589823	13.8982404	osm	67	1956	0.45
"Brložen"	851.0	46.2026903	15.0039211	osm	67	772	0.82
"Dolgi hrbet"	2473.0	46.3631869	14.5458019	osm	67	2376	0.77
"Požgana Mlinarica"	1871.0	46.407888	13.8794824	osm	67	1765	0.68
"Jedlovnik"	421.0	46.65384	15.5906767	osm	67	354	2.32
"Vrh nad Peski"	2176.0	46.264356	13.6770486	osm	67	2066	0.53
"Špega"	824.0	46.0686424	14.9659452	osm	67	756	0.9
"Krnica"	529.0	46.0139188	14.8172637	osm	67	464	0.86
"Srebotnik"	700.0	46.2003275	15.2958337	osm	67	599	0.94
"Vetrnik"	534.0	46.0181832	15.2519959	osm	67	465	4.83
"Šmihelovec"	2118.0	46.3756184	13.667357	osm	67	2015	0.45
"Visočki vrh"	788.0	46.3935883	14.9728507	osm	67	721	1.57
"Dolgi vrh"	918.0	46.1656963	15.1236248	osm	67	844	0.84
"Boštjanov hrib"	455.0	46.153022	15.220485	osm	67	375	1.21
"Scheffauer"	2111.0	47.5573214	12.2418396	osm	66	2024	0.59
"Johannser Kogel"	377.0	48.1895426	16.2180308	osm	66	312	1.01
"Brandstadl"	1650.0	47.4920823	12.245409	osm	66	1574	1.14
"Greifenstein"	2397.0	47.2995097	13.8004034	osm	66	2285	0.28
"Falvkopf"	1850.0	47.241952	9.844687	osm	66	1764	1.04
"Rotkopf"	2692.0	47.2553121	10.6412492	osm	66	2593	1.39
"Dürrekopfspitze"	2158.0	47.3801648	10.6390424	osm	66	2066	0.53
"Heimspitze"	2685.0	46.961461	9.9661734	osm	66	2591	0.58
"Gutschenkogel"	999.0	46.8024277	14.5444875	osm	66	927	1.48
"Eichberg"	584.0	47.7861304	16.0277184	osm	66	531	0.65
"Tannkogel"	922.0	47.3881929	14.9754103	osm	66	846	1.81
"Königsleitenspitze"	2315.0	47.2614715	12.0897928	osm	66	2239	0.94
"Stubnerkogel"	2246.0	47.113135	13.0987347	osm	66	2168	1.33
"Sonntagberg"	716.0	47.996419	14.763918	osm	66	640	1.94
"Kellerskopf"	3239.0	47.0635094	12.7214401	osm	66	3151	0.53
"Kellersberg"	3265.0	47.0661258	12.716392	osm	66	3171	0.5
"Fröstlberg"	1823.0	47.1832121	13.0014815	osm	66	1758	1.4
"Kreuzjoch"	2698.0	46.9692792	10.4729763	osm	66	2616	2.25
"Sparberwipfel"	1555.0	46.6569529	13.579766	osm	66	1472	0.53
"Grilzwipfel"	1565.0	46.71991	13.9743225	osm	66	1494	0.89
"Alpbichl"	1477.0	47.6238765	13.3161684	osm	66	1383	0.83
"Vordere Rendlspitze"	2816.0	47.0982636	10.2890791	osm	66	2731	0.95
"Bartlmann"	2416.0	46.938113	13.4538906	osm	66	2333	0.69
"Rössel"	1855.0	47.5140162	14.9339042	osm	66	1769	0.78
"Karkogel"	2078.0	47.140773	13.261545	osm	66	2008	0.56
"Großer Rain / Veliki rob"	1464.0	46.4717893	14.20281	osm	66	1391	0.47
"Galtenkogel"	2986.0	47.0426938	12.4428182	osm	66	2873	0.63
"Rotkogel"	2894.0	46.9406285	11.0574797	osm	66	2802	0.58
"Bründlkogel"	1436.0	47.3339373	15.5543894	osm	66	1352	1.04
"Hölltalspitze"	3379.0	47.0266142	11.1211326	osm	66	3188	0.38
"Kristallkopf"	3160.0	46.985408	12.7336661	osm	66	3067	0.42
"Krahköpfe"	2847.0	46.9891784	12.9882564	osm	66	2761	0.25
"Steindlsberg"	651.0	48.0222435	14.9627281	osm	66	579	0.75
"Schlossberg"	318.0	47.0567192	16.32294	osm	66	228	1.41
"Grassberg"	341.0	48.2577722	15.71205	osm	66	272	4.63
"Seeberghorn"	1261.0	47.7395673	13.2386488	osm	66	1160	0.56
"Rossschopf"	1674.0	47.2807294	14.4371618	osm	66	1602	1.23
"Steinwandkogel"	2132.0	47.4037456	14.3876839	osm	66	2043	0.75
"Rauchkogel"	947.0	47.6544494	14.9752458	osm	66	861	0.48
"Goganz"	743.0	47.9650937	15.0400928	osm	66	689	1.24
"Roter Kogel"	2832.0	47.137892	11.1691781	osm	66	2745	0.65
"Südlicher Schloßkopf"	2725.0	47.2259101	11.1264816	osm	66	2639	0.67
"Himmelreich"	1369.0	47.6250177	14.5240545	osm	66	1294	0.42
"Steinwandkogel"	1466.0	47.1453453	14.3518173	srtm	66	1400	1.13
"Mahderkopf"	2155.0	46.6223009	12.8616103	osm	66	2064	0.75
"Nissenberg"	1052.0	47.2852846	15.001477	osm	66	976	1.25
"Schwarzkopf"	2476.0	47.195997	12.5643253	osm	66	2373	0.52
"Kolm"	1088.0	46.7586919	12.9775328	osm	66	1014	0.83
"Tristeler"	1694.0	47.3527524	9.998905	osm	66	1620	0.56
"Plački vrh"	510.0	46.6801907	15.618015	osm	66	439	2.05
"Schober"	1822.0	46.9774049	13.9199567	osm	66	1751	0.75
"Eichberg"	384.0	48.2020503	15.967081	osm	66	334	2.11
"Durlaswaldhöhe"	774.0	48.0738806	15.7917856	osm	66	706	2.08
"Äuelehöhe"	1532.0	47.465344	10.05011	osm	66	1443	0.77
"Gschöllkopf"	2039.0	47.4469678	11.7636466	osm	66	1945	0.57
"Kamp"	2014.0	47.3922056	10.7674114	osm	66	1929	0.74
"Eichberg"	773.0	48.3733109	15.3770674	osm	66	711	1.0
"Bouřný"	702.5	50.8295656	14.6080253	osm	66	639	0.93
"Lohová"	310.8	50.2415432	16.0033296	osm	66	257	5.49
"Modravská hora"	1157.0	49.0135135	13.4789979	osm	66	1100	2.19
"Ždánov"	1064.0	49.1517405	13.6023957	osm	66	1010	3.87
"Mravenčák"	530.9	50.3724534	13.1798695	osm	66	451	0.63
"Prosíčka"	748.0	49.6448987	16.1971367	osm	66	679	2.76
"Holý vrch"	487.0	49.5854552	18.1814648	osm	66	420	0.72
"Strážnice"	482.0	49.5971597	18.2406867	osm	66	406	1.18
"Suchý vrch"	840.0	48.7682864	14.1139811	osm	66	782	1.67
"Vystrkov"	549.0	49.7771277	13.9624594	srtm	66	483	1.03
"Vápenný vrch"	776.4	50.3260449	17.0064759	osm	66	710	1.18
"Kuní hora"	925.0	48.7266547	14.7039696	osm	66	860	1.05
"Popova skála"	568.0	50.8255074	14.8132077	osm	66	481	2.48
"Hájek"	583.0	49.1074032	14.0518551	osm	66	516	2.49
"Dětřichovský kopec"	691.0	49.8167762	17.406587	osm	66	630	1.61
"Dobětická výšina"	459.0	50.6817727	14.064729	osm	66	395	1.02
"Javořík"	771.0	50.205032	17.149826	osm	66	717	1.01
"Kameniště"	718.0	49.9630853	12.5934327	osm	66	668	3.57
"Miloňová"	846.0	49.3807165	18.3377948	osm	66	775	1.48
"Komínek"	455.8	49.1139172	17.3400777	osm	66	383	1.24
"Koncipůdy"	418.0	49.8580868	13.9582135	osm	66	351	3.43
"Žampach"	546.0	50.0407515	16.4279528	osm	66	474	1.51
"Kaňk"	352.7	49.9720774	15.2785909	osm	66	285	2.23
"Lobezský vrch"	806.0	50.134658	12.708292	osm	66	749	0.85
"Ostrý"	587.0	50.539345	16.1143342	osm	66	524	1.11
"Dlouhá hůra"	511.0	49.4212352	17.9188728	osm	66	444	1.32
"Hřebeny"	566.0	49.7992213	13.8001106	osm	66	514	2.04
"Kaltský vrch"	757.1	49.2362505	13.4290534	osm	66	696	2.04
"Rumisko"	776.0	50.1703173	13.001047	osm	66	689	2.76
"Sucha Kopa"	1062.9	50.252792	16.9311513	osm	66	997	1.95
"Wapnica"	579.6	50.5706194	16.5806561	osm	66	505	1.26
"Koziniec"	462.1	50.9003972	15.8031634	osm	66	385	4.17
"Jelniak"	373.0	50.6917572	16.7926028	osm	66	304	1.32
"Siedlęcinka"	495.2	50.9211111	15.6813889	osm	66	431	2.43
"Granitowa"	321.2	50.9969444	16.2427778	osm	66	251	4.16
"Góra Zborów"	468.0	50.5726855	19.5303043	osm	66	376	6.37
"Tŕňová"	513.0	48.9557038	18.2451735	osm	66	446	0.98
"Solisko"	962.0	49.3674037	19.0923021	osm	66	897	0.92
"Farkaška"	707.0	48.5966387	19.7927819	osm	66	632	1.67
"Maršalkov grúň"	934.0	49.410412	19.2741445	osm	66	868	2.36
"Močidlá"	899.0	49.2402468	19.2093072	osm	66	816	0.74
"Grúniky"	876.0	49.326814	18.9629286	osm	66	816	1.21
"Hrbáky"	566.0	48.4608444	19.5913291	osm	66	503	0.98
"Rúbaniská"	534.0	49.3447738	21.1730098	osm	66	461	1.1
"Borovník"	1051.0	49.0423543	19.2632219	osm	66	982	0.48
"Burk"	898.0	49.0516177	20.6122072	osm	66	837	0.74
"Lazný vrch"	346.0	49.0419402	21.8175	osm	66	273	1.4
"Dlhá"	527.0	48.8365341	21.9699461	osm	66	466	1.38
"Kalvária"	726.0	48.4617675	18.9139525	osm	66	640	1.3
"Rekomberek"	384.0	48.4667124	17.3733569	osm	66	314	0.85
"Veľká"	308.0	48.9455308	21.9718102	osm	66	238	0.98
"Pätina"	1011.0	48.6543835	19.5931694	srtm	66	945	3.62
"Skalka"	706.0	48.9049483	20.5416373	srtm	66	640	1.02
"Tábor"	377.0	48.5314959	18.2572006	srtm	66	311	1.75
"Šariansky vrch"	758.0	48.4138906	18.7818993	osm	66	681	2.54
"Sitarjevec"	448.0	46.0523535	14.8261015	osm	66	374	1.05
"Volčja njiva"	592.0	46.0989643	14.1254837	osm	66	519	0.83
"Lom"	1176.0	46.1781411	14.0016239	osm	66	1109	0.43
"Črni vrh"	1307.0	46.2841091	14.1794188	osm	66	1232	1.81
"Kuk"	612.0	46.0279831	13.6198161	osm	66	534	1.62
"Špilj"	532.0	46.097816	14.7092048	osm	66	463	0.63
"Kamnik"	477.0	46.1465155	14.9288686	osm	66	398	0.6
"Hriberski vrh"	1071.0	46.3397114	14.7531613	osm	66	989	1.02
"Kobel"	1203.0	46.395456	14.3134417	osm	66	1121	0.46
"Marinkovec"	455.0	46.276391	15.7016644	osm	66	376	0.51
"Log"	403.0	46.2806852	15.8569301	osm	66	319	0.45
"Varta"	360.0	46.2541232	15.5617065	osm	66	279	1.22
"Klumpa"	325.0	46.4669842	16.2425516	osm	66	253	2.74
"Strmec"	334.0	46.2323992	15.6657173	osm	66	258	0.98
"Zöhrerberg"	845.0	48.4690869	14.6342446	osm	65	783	1.47
"Hirzenberg"	802.0	48.6639265	13.8260181	osm	65	743	1.69
"Tschaggunser Mittagsspitze"	2168.0	47.0457713	9.8850024	osm	65	2063	0.63
"Saykogel"	3355.0	46.798106	10.8519392	osm	65	3258	0.67
"Hoher Karkopf"	2686.0	47.1709232	10.8463763	osm	65	2591	0.82
"Zamangspitze"	2386.0	47.0515391	9.9749026	osm	65	2297	0.93
"Grünkogel"	990.0	47.931723	15.778202	osm	65	900	0.65
"Steinjoch - Monte Sasso"	2187.0	46.9951708	11.4699681	osm	65	2111	0.73
"Matona"	1998.0	47.296538	9.788109	osm	65	1898	1.0
"Piengkopf"	2790.0	46.8605691	10.5643697	osm	65	2715	1.09
"Tagweidkopf"	2408.0	47.358399	10.7770464	osm	65	2316	0.57
"Schafkarspitze"	2505.0	47.3824555	11.5839714	osm	65	2400	0.5
"Kreuzmauer"	853.0	47.91466	14.3549386	osm	65	742	0.64
"Hochkogel"	873.0	47.9622862	15.5704264	osm	65	804	1.13
"Sonnspitz"	1263.0	47.8351427	14.0921838	osm	65	1186	0.5
"Hochkammerlinghorn"	2506.0	47.5450397	12.836358	osm	65	2413	0.53
"Hartberg"	918.0	47.5049659	16.0791373	osm	65	856	1.83
"Größenberg (Größing)"	2152.0	47.0812121	14.7978356	osm	65	2077	1.16
"Therenberg"	563.0	47.327404	9.642921	osm	65	487	0.33
"Zweitausender"	2004.0	47.3234518	12.3495967	osm	65	1928	0.74
"Ochsenkopf"	1995.0	47.334426	12.8999008	osm	65	1913	0.65
"Steinnock"	2197.0	46.8727817	13.805616	osm	65	2120	0.94
"Hirschkogel"	1575.0	47.632107	14.9537411	osm	65	1481	0.53
"Ragstattjoch"	1545.0	47.5675824	11.849117	osm	65	1465	2.22
"Ledererkogel"	866.0	47.89043	15.88778	osm	65	793	0.85
"Seeblesspitze"	2628.0	47.165925	11.5309694	osm	65	2541	0.63
"Noten"	1640.0	47.7947732	15.0287491	osm	65	1544	1.04
"Roßkopf"	2603.0	46.6854023	12.5005722	osm	65	2486	0.29
"Rosskarspitz / Col dell'Ai"	2511.0	46.657266	12.5586116	osm	65	2427	0.52
"Langlackenmauer"	1482.0	47.8060319	14.5578723	osm	65	1381	2.19
"Rotfluh"	3166.0	46.8605333	10.0808333	osm	65	3058	0.47
"Sensenspitz"	2480.0	46.7974604	13.1421041	osm	65	2388	0.42
"Kalcherberg"	1249.0	47.5476812	15.3629015	osm	65	1190	1.08
"Rauchbichl"	2503.0	46.7684521	12.7240106	osm	65	2417	0.77
"Schönlahnerspitze"	2424.0	47.0837345	11.6187068	osm	65	2340	0.75
"Richtberg"	2278.0	47.234736	11.9863422	osm	65	2193	0.56
"Gurenstein"	2219.0	47.187615	13.304535	osm	65	2144	1.79
"Mittagsjoch"	2362.0	47.0715506	9.997743	osm	65	2262	0.73
"Fanesklakopf"	2539.0	47.0330733	10.1191763	osm	65	2444	0.57
"Steinbauerberg"	765.0	48.5528394	14.3744138	osm	65	705	2.18
"Achkogel"	2313.0	47.2122588	12.2099247	osm	65	2228	0.84
"Hohes Känzele"	640.0	47.23938	9.608025	osm	65	564	1.06
"Wipfl"	1126.0	47.7613017	14.0984061	osm	65	1049	0.56
"Ratzenkogel"	1733.0	47.4167862	14.1016154	osm	65	1654	0.44
"Saupanzen"	1957.0	47.3652587	12.0068771	osm	65	1871	0.83
"Zeleni vrh / Malinschek"	1622.0	46.4064428	14.5405813	osm	65	1538	0.72
"Griesmoarkogel"	2009.0	47.4192039	14.6036076	osm	65	1931	0.65
"Zederbauernspitz"	1082.0	47.8822004	14.1731825	osm	65	1001	0.75
"Mannlkarkopf"	2870.0	47.147319	12.1288448	osm	65	2785	0.57
"Kaltenberg (Nord)"	1003.0	48.3477359	15.0697832	osm	65	938	2.65
"Lammerkogel"	1012.0	47.4255033	15.1860666	osm	65	950	1.26
"Lindenberg"	945.0	48.00825	15.534153	osm	65	871	2.28
"Mittereckkogel"	1325.0	47.837831	15.1706386	osm	65	1273	1.24
"Westliche Schöberspitze"	2602.0	47.0744809	11.624024	osm	65	2499	0.49
"Šerák"	1351.0	50.1866859	17.1066693	osm	65	1281	1.29
"Měděnec"	777.2	50.9073481	15.251439	osm	65	701	0.99
"Vlčinec"	972.0	50.3298161	12.8345615	osm	65	908	1.65
"Soudný kámen"	546.0	50.6110918	14.2349625	osm	65	478	2.09
"Strážnice"	438.0	49.6472222	18.4166667	osm	65	379	3.7
"Jeruzalém"	520.0	50.4976857	15.5920393	osm	65	463	1.22
"Zahájený"	845.0	49.1569894	13.69966	osm	65	791	1.88
"Milešovský Kloc"	674.4	50.5391684	13.9152583	osm	65	603	1.02
"Kukačka"	471.0	50.9722987	15.2726322	osm	65	417	2.92
"Všerubský vrch"	563.0	49.3387403	13.0117829	osm	65	510	3.05
"Hůra"	392.8	49.907984	15.7909489	osm	65	337	2.57
"Travičná"	380.0	48.8594154	17.3639036	osm	65	321	1.54
"Svíb"	331.5	50.29757	15.7379627	osm	65	278	4.84
"Kozlov"	381.0	50.5613401	15.1276052	osm	65	327	1.02
"Kravský vrch"	869.0	48.752688	14.1592189	osm	65	812	3.01
"Hara"	489.0	50.7036375	14.1586588	srtm	65	424	1.72
"Křížový vrch"	515.0	50.0468399	17.04208	osm	65	456	0.74
"Na Klobouku"	603.8	50.2494347	13.0133137	osm	65	546	2.43
"Hlásek"	502.5	49.7599387	14.9734263	osm	65	455	4.16
"Hlubocký hřeben"	851.0	50.7155996	15.0123674	osm	65	787	1.35
"Twardziel"	358.4	50.6948936	16.8801697	osm	65	295	6.11
"Cichoń"	397.0	50.9391667	15.6608333	osm	65	336	1.12
"Sowia Kopa"	672.3	50.3001044	16.889611	osm	65	608	1.68
"Cygańska Góra"	475.0	50.1593921	17.6775764	osm	65	413	2.49
"Rozsypok"	1131.0	48.6948854	19.8034508	srtm	65	1066	1.08
"Batizovský štít"	2448.0	49.1653667	20.1241414	osm	65	2343	0.43
"Veľká Pec"	438.0	48.632188	17.6642982	osm	65	354	0.87
"Dubeň"	613.0	49.2339448	18.7817246	osm	65	547	1.45
"Hrb"	579.0	49.1689946	21.0113695	osm	65	536	1.09
"Ovčinec"	1012.0	48.7685514	20.8917979	osm	65	948	1.71
"Veľká lúka"	775.0	49.3786446	18.6268621	osm	65	708	0.91
"Pukanec"	1302.0	48.9672789	19.843331	osm	65	1230	1.02
"Zadný Moravec"	959.0	48.9658778	20.8932357	osm	65	892	1.02
"Horbáľová"	1010.0	49.3467639	20.5470858	osm	65	938	1.43
"Kláštorná hora"	657.4	49.4008374	20.4227937	osm	65	596	0.75
"Šementlov"	747.0	48.4122003	18.8209657	osm	65	671	0.76
"Gregória"	1046.0	49.0139989	20.0576106	osm	65	981	1.0
"Nocľahy"	754.0	49.3403507	18.9580799	osm	65	692	1.13
"Červená"	1202.0	48.9594888	19.7525974	osm	65	1135	1.37
"Černíková"	626.0	49.3132803	18.7297262	osm	65	559	1.21
"Žiarska hoľa"	1841.0	48.9171828	19.5034332	osm	65	1770	1.05
"Plošové Turne"	1081.0	49.2664045	20.232366	osm	65	1019	0.56
"Čierna hora"	238.0	48.4643856	21.6644481	srtm	65	173	1.59
"Kozelník"	1024.0	48.8057519	19.0366601	osm	65	956	1.73
"Hradište"	770.0	49.1072578	18.8728997	srtm	65	705	0.42
"Łysina"	795.4	49.4093705	20.423014	osm	65	714	0.52
"Hradište"	891.0	48.9888411	19.0084838	osm	65	820	1.02
"Chlm"	368.0	48.6920307	17.8953961	srtm	65	303	0.98
"Prílesok"	500.0	49.1795781	21.3366796	srtm	65	435	1.38
"Starý vrch"	251.0	48.1008329	19.3485804	srtm	65	186	2.56
"Čierťaž"	557.0	49.4040607	21.6520856	srtm	65	492	0.91
"Bukovec"	290.0	48.381235	20.2569248	srtm	65	225	7.05
"Malý Radzim"	961.0	48.7763419	20.3269539	osm	65	907	0.8
"Špičiak"	1051.0	49.3060864	20.4867581	osm	65	975	1.9
"Meljski hrib"	398.0	46.5619535	15.6773803	osm	65	329	2.04
"Hom"	718.0	46.1394323	14.3597548	osm	65	638	1.55
"Monte Forato / Prestreljenik"	2498.0	46.3621311	13.4724034	osm	65	2383	1.48
"Grušnica"	1570.0	46.2392727	13.7503301	osm	65	1482	0.71
"Velika Montura"	1958.0	46.2870757	13.7117122	osm	65	1877	0.68
"Brda"	2009.0	46.3850234	13.9257014	osm	65	1923	0.8
"Mohor"	1847.0	46.265696	13.7804344	osm	65	1720	0.79
"Pleše"	1647.0	46.2734827	13.7891193	osm	65	1575	0.57
"Ermanovec"	1026.0	46.1012646	14.0632644	osm	65	955	2.17
"Krnčica"	2142.0	46.2819176	13.6508679	osm	65	2043	1.68
"Špik"	921.0	46.0829711	13.7893524	osm	65	858	0.64
"Čemažarjev kovk"	1056.0	46.2015125	14.0742521	osm	65	976	1.23
"Zahojnikov vrh"	990.0	46.2754136	14.965521	osm	65	909	1.67
"Žigrski vrh"	363.0	46.0136305	15.3587546	osm	65	283	1.13
"Kozičje"	815.0	46.0739738	15.2131986	osm	65	754	0.59
"Fesinge"	643.0	46.1001849	15.2757556	osm	65	577	1.21
"Kulpina"	510.0	46.2788224	15.7545999	osm	65	438	0.58
"Vrh Virštanja"	439.0	46.1345409	15.5572726	osm	65	368	1.29
"Auerbacher Berg"	793.0	48.4845634	14.4238382	srtm	64	729	1.31
"Kronauer Berg"	707.0	48.5001599	14.5576919	osm	64	651	0.98
"Osterhorn"	1746.0	47.673156	13.3632228	osm	64	1668	0.8
"Kereszt-kút"	632.0	47.3969562	16.474601	osm	64	575	2.32
"Hohe Seite"	2852.0	47.0866807	10.9007621	osm	64	2768	1.08
"Seegupf"	2011.0	47.484047	14.371905	osm	64	1935	0.7
"Zinkwand"	2442.0	47.2689154	13.6826489	osm	64	2334	0.6
"Palec / Selenitza"	2026.0	46.443241	14.219293	osm	64	1913	0.42
"Steinschlagspitze - Punta delle Frane"	2861.0	46.7728234	10.7700677	osm	64	2758	0.5
"Großer Nörderberg"	2885.0	46.8715479	10.7252559	osm	64	2796	0.93
"Hochwandkopf"	1579.0	47.2766663	11.2800789	osm	64	1503	0.66
"Gleirschspitze"	2317.0	47.3156384	11.398184	osm	64	2221	0.68
"Großmutzkopf"	1987.0	46.8633052	10.4925132	osm	64	1913	0.94
"Ruederkarspitze"	2240.0	47.4224558	11.5560303	osm	64	2137	0.42
"Großer Kölbling"	345.0	48.291023	15.6584622	osm	64	284	1.48
"Mittlere Arnspitze"	2091.0	47.3941425	11.2156422	osm	64	1996	0.42
"Sengenebenberg"	1104.0	48.0041754	15.693456	osm	64	1035	0.65
"Brunnkogel"	1063.0	47.7762912	14.0214202	osm	64	992	1.09
"Karnerkogel"	786.0	47.5550917	15.5491656	osm	64	718	0.86
"Schlossberg"	291.0	48.14244	16.947859	osm	64	219	0.52
"Kleiner Löffler - Punta Cucchiaio Piccolo"	3050.0	47.0236792	12.1736012	osm	64	2947	0.52
"Kleiner Zöbel"	1361.0	47.745941	14.0408476	osm	64	1286	0.33
"Tulpspitze"	3054.0	47.0515576	12.362579	osm	64	2945	0.37
"Hongar"	943.0	47.9220613	13.6968155	osm	64	874	2.11
"Die Schön"	805.0	47.9873231	15.9773839	osm	64	722	1.08
"Münzenberg"	923.0	48.4605	15.0028515	osm	64	858	2.01
"Seisbühel"	687.0	47.5191617	16.1769431	osm	64	618	1.02
"Steinwandeck"	2475.0	47.0600655	13.5465278	osm	64	2382	0.58
"Kienbergmauer"	758.0	47.9193448	14.3658926	osm	64	674	0.73
"Weißlachberg"	2671.0	46.8063759	12.4949725	osm	64	2596	1.1
"Schwarzkogel"	2866.0	47.1097733	12.5820527	osm	64	2776	0.58
"Kübelgrubenkopf"	2870.0	47.0580445	10.5291486	osm	64	2774	0.39
"Wurmfeld"	2088.0	47.1962643	13.4296398	osm	64	2011	0.86
"Kleiner Ingent"	2840.0	47.0587443	11.779862	osm	64	2749	0.48
"Rosskopf"	2149.0	47.2318899	12.7864744	osm	64	2079	0.54
"Südliche Talleitenspitze"	3113.0	46.9692696	12.7412174	osm	64	3024	0.57
"Rotebenkogel - Cima del Piano Rosso"	3157.0	46.8021187	10.6701582	osm	64	3073	0.6
"Hühnerspitz"	2002.0	46.7345799	13.3785317	osm	64	1929	1.11
"Wankrautkopf"	1762.0	47.3458206	12.7690887	osm	64	1691	0.72
"Weichselberg"	310.0	48.2851029	15.7606272	osm	64	260	3.86
"Hoher Kogel"	2817.0	46.9228022	10.2409716	osm	64	2728	0.65
"Wartkogel"	906.0	47.2092288	15.2517441	osm	64	839	0.95
"Grafenkogel"	1113.0	47.3831236	14.8372813	osm	64	1039	0.66
"Zwölferkopf / Malovršnikov vrh"	1263.0	46.4606024	14.4889946	osm	64	1177	0.58
"Zwölferkogel"	1982.0	47.5321167	13.6450838	osm	64	1912	1.08
"Kitzspitze"	1977.0	47.6281333	14.234328	osm	64	1900	0.74
"Kühfeld"	1923.0	47.6191036	14.2473938	osm	64	1847	0.63
"Jausenkogel"	1346.0	47.830943	14.1281747	osm	64	1260	0.78
"Adlerstein"	1119.0	47.7915907	13.4726585	osm	64	1019	1.58
"Strimitzriegel"	1821.0	47.1350673	14.5225203	osm	64	1744	1.04
"Nasenkopf"	2462.0	47.2062824	12.3682344	osm	64	2370	0.39
"Weinberg"	494.0	47.3067887	16.38361	osm	64	431	1.3
"Vorderer Haunoldberg"	471.0	48.0468134	16.0767062	osm	64	402	0.95
"Walzikogel"	1180.0	46.9670156	14.8209258	osm	64	1115	1.32
"Am Hals"	1516.0	46.7435431	13.9183151	osm	64	1446	1.07
"Sedlo"	447.1	50.7909459	14.4106588	osm	64	376	0.71
"Oblík"	1227.6	49.0536229	13.4431195	osm	64	1154	1.79
"Mały Szyszak / Malý Šišák"	1439.4	50.759177	15.6486309	osm	64	1363	1.24
"Prenet"	1071.0	49.2352889	13.2113341	osm	64	1015	2.21
"Čertův mlýn"	1206.0	49.4893733	18.3017717	osm	64	1137	0.86
"Křížový vrch"	667.0	50.6243529	16.1264538	osm	64	588	2.13
"Zámecký vrch"	934.0	50.2031168	17.3237359	osm	64	865	1.2
"Klenčov"	536.0	49.1712106	17.7268744	osm	64	464	2.24
"Březník"	1006.0	49.1510522	13.4243012	osm	64	941	1.75
"Hůrka"	494.0	50.5899686	15.627169	osm	64	445	3.43
"Čepel"	502.9	49.655565	14.2046798	osm	64	444	1.92
"Čedičový vrch"	329.0	50.8487587	14.3877401	osm	64	262	1.06
"Čechtínský kopec"	662.0	49.2832398	15.8402408	osm	64	606	2.86
"Maršovický vrch"	744.0	50.7039346	15.2038205	osm	64	686	0.99
"Starý Herštejn"	878.0	49.4721364	12.7140813	osm	64	797	1.58
"Orlovická hora"	723.0	49.3270253	13.084388	osm	64	662	1.13
"Chlum"	358.6	50.2653303	16.1805328	osm	64	309	2.35
"Kostelík"	530.0	49.7234967	14.9564888	osm	64	464	5.58
"Stříbrná"	551.0	49.3872543	16.9709122	osm	64	490	2.99
"Jirná"	523.0	49.7290129	13.0216345	osm	64	469	6.53
