"Summit"	"Elevation"	"Latitude"	"Longitude"	"EleSrc"	"Prominence"	"Saddle"	"IsolationKm"
"Viehberg"	1112.0	48.5602889	14.6232319	osm	460	656	25.0
"Sinacher Gupf / Psinjski vrh"	1577.0	46.4944747	14.192042	osm	460	1101	3.5
"Starhand"	1965.0	46.5665032	13.4688111	osm	460	1483	2.05
"Bruderkogel"	2299.0	47.3879467	14.4219348	osm	460	1822	5.37
"Hoher Ifen"	2230.0	47.3546808	10.100211	osm	459	1744	7.65
"Padauner Kogel"	2066.0	47.0428627	11.5072631	osm	459	1594	2.25
"Gutenbrand"	1313.0	47.6833098	15.1745035	osm	459	832	1.45
"Kulmspitze"	1095.0	47.8507214	13.4062723	osm	458	626	3.89
"Hohe Pressing"	2370.0	46.9378858	13.6923894	osm	458	1898	6.65
"Ulrichsberg"	1022.0	46.7019662	14.2964113	osm	458	558	7.34
"Geierköpfe-Hauptgipfel"	2161.0	47.5191797	10.8749008	osm	457	1677	3.26
"Riegerin"	1939.0	47.6450667	15.067296	osm	457	1461	3.57
"Rosenjoch"	2796.0	47.1802009	11.5431591	osm	457	2326	7.25
"Karancs/Karanč"	725.0	48.1582495	19.7896803	osm	455	267	25.0
"Kojšovská hoľa"	1246.0	48.782182	20.9879182	osm	455	787	22.34
"Kreuzkopf"	1909.0	47.520012	10.812711	osm	454	1439	2.94
"Ślęża"	717.5	50.8640875	16.7074963	osm	454	249	22.57
"Zlatý stôl"	1316.0	48.7666517	20.655417	osm	454	866	25.0
"Türnitzer Höger"	1372.0	47.9194377	15.5559927	osm	453	899	8.76
"Rastkogel"	2762.0	47.204304	11.7508806	osm	452	2290	8.25
"Watzespitze"	3532.0	46.9896687	10.7953848	osm	452	3041	12.05
"Lasörling"	3098.0	46.9759022	12.3550378	osm	451	2604	7.31
"Kröndlhorn"	2444.0	47.2987423	12.1649479	osm	450	1974	3.87
"Pflerscher Tribulaun - Tribulaun di Fleres"	3097.0	46.9852899	11.3388907	osm	450	2579	6.14
"Türchlwand"	2577.0	47.1510843	13.0323225	osm	450	2099	6.95
"Kreuzeck"	1459.0	47.1211421	14.4132	osm	450	1000	3.73
"Sittlingerkogel"	1098.0	47.662917	14.669639	srtm	449	649	2.64
"Veitsberg"	1787.0	47.5741101	11.9735098	osm	449	1327	2.83
"Gamskogel"	2210.0	47.0071516	13.9503139	osm	449	1751	5.85
"Hirschberg"	1834.0	47.3594457	9.9991292	osm	448	1368	2.18
"Lomnický štít"	2633.0	49.1951431	20.2130329	osm	448	2164	6.7
"Hoher Prijakt"	3064.0	46.9157491	12.7123631	osm	447	2586	2.79
"Kobiljek"	920.0	46.1262127	14.9387253	osm	447	472	6.59
"Sulzfluh"	2818.0	47.0126709	9.8396931	osm	446	2346	2.62
"Trattberg"	1757.0	47.6410242	13.2741495	osm	446	1296	6.25
"Mittlere Kreuzspitze"	2496.0	47.3363504	10.5927602	osm	445	2031	3.84
"Tonion"	1699.0	47.7131683	15.3788913	osm	445	1238	5.48
"Großes Wiesbachhorn"	3564.0	47.1567037	12.7549465	osm	444	3088	9.78
"Rauchberg"	2480.0	47.3042437	10.7584406	osm	444	2001	1.82
"Weißeck"	2711.0	47.1624791	13.3936411	osm	444	2257	7.33
"Friedrichfelsen"	732.0	48.3435594	15.4377396	osm	443	284	4.74
"Grasberg"	2020.0	47.4768574	11.5425216	osm	441	1560	3.82
"Blockkogel"	3098.0	47.0853872	10.8805947	osm	441	2631	7.21
"Sonntagkogel"	2343.0	47.3487045	14.602521	osm	441	1893	3.64
"Spitzkofel"	2717.0	46.772382	12.7428493	osm	441	2245	4.84
"Kühberg"	1415.0	47.7748432	14.6188807	osm	441	951	4.19
"Fallesinspitze Südgipfel"	2769.0	47.180796	10.301888	osm	441	2298	4.79
"Großer Sulzberg"	1400.0	47.8385463	15.3833861	osm	440	948	7.76
"Großer Möseler - Grande Mèsule"	3479.0	46.9924651	11.781782	osm	440	3009	4.62
"Lärmerstange"	1477.0	47.7928008	14.7167789	osm	440	1018	4.0
"Edigon"	2510.0	46.6462665	12.7771594	osm	439	2019	3.89
"Kilnprein"	2408.0	46.9858902	13.8428038	osm	439	1961	7.02
"Záruby"	767.0	48.5234508	17.3926915	osm	439	314	25.0
"Blutspitze"	2626.0	47.2496947	13.6854662	osm	437	2162	5.73
"Brandstein"	2003.0	47.6008136	14.9827022	osm	436	1556	3.41
"Hohenbühel"	1581.0	47.1188702	13.7258741	osm	436	1139	3.71
